route_id,trip_id,trip_headsign,origin,destination,start_time,end_time,delay,total_distance,total_time,avg_speed,avg_acceleration,shape_id,road_grade,stop_density,has_station,dist_to_station,time_at_station
3M,135548:300726,MEMORIAL to County Park,City Hall Terminal,Waterfront Terminal,06:10:00,06:29:00,0 min,7.26,19.0,17.08685714285714,427.3645714285728,3175,-1.743,3.856749311294766,Waterfront Terminal,7.26,06:29:00
3M,135684:300583,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,06:45:00,07:14:00,16.0 min,7.828,29.0,13.095253333333323,195.80785777777743,3278,-1.562,3.193663771078181,City Hall Terminal,7.828,07:14:00
3M,135566:299932,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,07:15:00,07:44:00,1.0 min,8.491,29.0,13.818049261083749,266.3142237860674,3281,-1.743,3.415380991638205,Waterfront Terminal,8.491,07:44:00
3M,135702:301139,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,07:45:00,08:14:00,1.0 min,7.828,29.0,13.095253333333336,195.8078577777776,3278,-1.562,3.193663771078181,City Hall Terminal,7.828,08:14:00
3M,135580:300712,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,08:15:00,08:44:00,1.0 min,8.491,29.0,13.818049261083784,266.3142237860669,3281,-1.743,3.415380991638205,Waterfront Terminal,8.491,08:44:00
3M,135719:299729,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,08:45:00,09:14:00,1.0 min,7.828,29.0,13.095253333333355,195.80785777777783,3278,-1.562,3.193663771078181,City Hall Terminal,7.828,09:14:00
3M,135594:300374,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,09:15:00,09:44:00,1.0 min,8.491,29.0,13.818049261083784,266.3142237860669,3281,-1.743,3.415380991638205,Waterfront Terminal,8.491,09:44:00
3M,135618:299265,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,09:45:00,10:14:00,1.0 min,7.828,29.0,13.095253333333355,195.80785777777783,3278,-1.562,3.193663771078181,City Hall Terminal,7.828,10:14:00
3M,135348:301540,MEMORIAL to Jumbo Gardens,City Hall Terminal,Waterfront Terminal,10:15:00,10:44:00,1.0 min,8.491,29.0,13.818049261083784,266.3142237860669,3281,-1.743,3.415380991638205,Waterfront Terminal,8.491,10:44:00
3M,135381:300701,MEMORIAL to Northwood,Waterfront Terminal,City Hall Terminal,10:45:00,11:14:00,1.0 min,7.828,29.0,13.095253333333355,195.80785777777783,3278,-1.562,3.193663771078181,City Hall Terminal,7.828,11:14:00
